FormID,Project,Project Name (from Project),Judge Name,Innovation,Value & Impact,Completeness,Technical Implementation,Track2,Track1,Cheating
81,['recSeeY9kbUyXyln0'],['Project 6'],Andrew Konovalskyi,4,4,1,2,['Main Track'],['Cybersecurity'],
119,['rec62r68Cqa3JbNHt'],['Project 18'],Matt Walters,5,2,1,2,['Cybersecurity'],['Accessible City'],
124,['recTy5jfDALsSiOrp'],['Project 20'],Zane Giordano,5,1,5,5,,['Mobility Access'],
89,['recp7se9yKLjv2Aij'],['Project 8'],Julien Khaleghy,4,3,2,1,['Cybersecurity'],['Main Track'],
90,['rec0mHwrq4d1X6VGF'],['Project 9'],Akshay Mittal,5,4,4,4,,['Public Safety Insights'],
112,['rec6rX2YNYvJRb6BN'],['Project 16'],Jennifer Houlihan,4,3,3,4,['Mobility Access'],['Public Safety Insights'],
66,['rechfBn3RXNxfjZId'],['Project 1'],Judge Name,4,2,4,5,['Cybersecurity'],['Public Safety Insights'],
84,['recDiCEIzel4N6hAd'],['Project 7'],Jennifer Houlihan,3,5,1,3,['Accessible City'],['Main Track'],True
125,['recTy5jfDALsSiOrp'],['Project 20'],Akshay Mittal,1,1,2,4,,['Mobility Access'],
107,['rec8EFjuGSomOneHc'],['Project 14'],Matt Walters,1,3,1,4,,['webAI'],
120,['recM6do1VeBLpwNwy'],['Project 19'],Julien Khaleghy,1,2,4,2,['webAI'],['Public Safety Insights'],
106,['rec8EFjuGSomOneHc'],['Project 14'],Andrew Konovalskyi,1,3,5,2,,['webAI'],
82,['recSeeY9kbUyXyln0'],['Project 6'],Brian McInnis,3,5,3,3,['Main Track'],['Cybersecurity'],
67,['rechfBn3RXNxfjZId'],['Project 1'],Colin McNamara,1,3,1,1,['Cybersecurity'],['Public Safety Insights'],True
98,['recuCVYEf4K1yXdSf'],['Project 11'],Andrew Konovalskyi,4,4,4,5,['webAI'],['Accessible City'],
68,['rechfBn3RXNxfjZId'],['Project 1'],Zane Giordano,1,4,3,1,['Cybersecurity'],['Public Safety Insights'],
121,['recM6do1VeBLpwNwy'],['Project 19'],Akshay Mittal,2,5,2,3,['webAI'],['Public Safety Insights'],
114,['recEvvYMsMHyjTVJG'],['Project 17'],Prakhar Bajpai,2,4,1,2,['Cybersecurity'],['Main Track'],
95,['recB3lAg1dlKy3GGs'],['Project 10'],Jennifer Houlihan,1,1,5,2,['Public Safety Insights'],['Mobility Access'],
93,['recB3lAg1dlKy3GGs'],['Project 10'],Zane Giordano,3,3,5,1,['Public Safety Insights'],['Mobility Access'],
118,['rec62r68Cqa3JbNHt'],['Project 18'],Andrew Konovalskyi,5,5,2,1,['Cybersecurity'],['Accessible City'],
70,['rec5sVRsZgcVxamvw'],['Project 2'],Alaa,3,1,5,3,['Cybersecurity'],['Public Safety Insights'],
104,['reccRPgARY9EZE60z'],['Project 13'],Julien Khaleghy,2,3,2,3,['Accessible City'],['Public Safety Insights'],
117,['rec62r68Cqa3JbNHt'],['Project 18'],Alaa,3,2,3,3,['Cybersecurity'],['Accessible City'],
109,['recNyir2Vbzx77un5'],['Project 15'],Jennifer Houlihan,3,1,1,1,['Main Track'],['Mobility Access'],
91,['rec0mHwrq4d1X6VGF'],['Project 9'],Andrew Konovalskyi,2,4,5,3,,['Public Safety Insights'],
85,['recDiCEIzel4N6hAd'],['Project 7'],Colin McNamara,4,1,3,4,['Accessible City'],['Main Track'],
105,['rec8EFjuGSomOneHc'],['Project 14'],Julien Khaleghy,1,4,1,5,,['webAI'],
122,['recM6do1VeBLpwNwy'],['Project 19'],Zane Giordano,2,5,2,5,['webAI'],['Public Safety Insights'],
71,['rec5sVRsZgcVxamvw'],['Project 2'],Julien Khaleghy,4,2,2,1,['Cybersecurity'],['Public Safety Insights'],True
76,['recPvLo4qpUQxPsxu'],['Project 4'],Prakhar Bajpai,3,3,5,1,['Mobility Access'],['Public Safety Insights'],True
75,['recPvLo4qpUQxPsxu'],['Project 4'],Colin McNamara,3,4,5,5,['Mobility Access'],['Public Safety Insights'],
108,['recNyir2Vbzx77un5'],['Project 15'],Akshay Mittal,4,2,5,3,['Main Track'],['Mobility Access'],
88,['recp7se9yKLjv2Aij'],['Project 8'],Zane Giordano,4,3,4,3,['Cybersecurity'],['Main Track'],
96,['recuCVYEf4K1yXdSf'],['Project 11'],Matt Walters,1,5,4,3,['webAI'],['Accessible City'],
73,['recNFmYgEl2IvL3ct'],['Project 3'],Akshay Mittal,4,5,5,4,['Public Safety Insights'],['Mobility Access'],
101,['recmFa2vRT8QKJax6'],['Project 12'],Akshay Mittal,1,1,4,2,['Accessible City'],['Disaster Response'],
97,['recuCVYEf4K1yXdSf'],['Project 11'],Prakhar Bajpai,1,4,3,1,['webAI'],['Accessible City'],
99,['recmFa2vRT8QKJax6'],['Project 12'],Prakhar Bajpai,5,2,3,4,['Accessible City'],['Disaster Response'],
111,['rec6rX2YNYvJRb6BN'],['Project 16'],Prakhar Bajpai,1,3,2,2,['Mobility Access'],['Public Safety Insights'],
77,['recPvLo4qpUQxPsxu'],['Project 4'],Andrew Konovalskyi,2,4,4,3,['Mobility Access'],['Public Safety Insights'],
116,['recEvvYMsMHyjTVJG'],['Project 17'],Andrew Konovalskyi,1,3,1,4,['Cybersecurity'],['Main Track'],
113,['rec6rX2YNYvJRb6BN'],['Project 16'],Alaa,5,4,3,5,['Mobility Access'],['Public Safety Insights'],
100,['recmFa2vRT8QKJax6'],['Project 12'],Brian McInnis,2,5,4,4,['Accessible City'],['Disaster Response'],
69,['rec5sVRsZgcVxamvw'],['Project 2'],Brian McInnis,4,1,1,4,['Cybersecurity'],['Public Safety Insights'],
72,['recNFmYgEl2IvL3ct'],['Project 3'],Colin McNamara,2,2,5,2,['Public Safety Insights'],['Mobility Access'],
92,['rec0mHwrq4d1X6VGF'],['Project 9'],Andrew Konovalskyi,1,1,2,1,,['Public Safety Insights'],
103,['reccRPgARY9EZE60z'],['Project 13'],Akshay Mittal,3,3,3,3,['Accessible City'],['Public Safety Insights'],
86,['recDiCEIzel4N6hAd'],['Project 7'],Matt Walters,4,3,4,1,['Accessible City'],['Main Track'],
102,['reccRPgARY9EZE60z'],['Project 13'],Brian McInnis,5,4,1,4,['Accessible City'],['Public Safety Insights'],
110,['recNyir2Vbzx77un5'],['Project 15'],Matt Walters,2,1,5,3,['Main Track'],['Mobility Access'],
74,['recNFmYgEl2IvL3ct'],['Project 3'],Julien Khaleghy,1,1,1,2,['Public Safety Insights'],['Mobility Access'],
115,['recEvvYMsMHyjTVJG'],['Project 17'],Julien Khaleghy,1,1,2,2,['Cybersecurity'],['Main Track'],
94,['recB3lAg1dlKy3GGs'],['Project 10'],Matt Walters,4,3,3,3,['Public Safety Insights'],['Mobility Access'],
79,['recOJHRUBhcuTvuKz'],['Project 5'],Julien Khaleghy,2,1,4,4,['Accessible City'],['Main Track'],
87,['recp7se9yKLjv2Aij'],['Project 8'],Andrew Konovalskyi,5,3,3,5,['Cybersecurity'],['Main Track'],
80,['recOJHRUBhcuTvuKz'],['Project 5'],Colin McNamara,3,5,5,1,['Accessible City'],['Main Track'],
123,['recTy5jfDALsSiOrp'],['Project 20'],Prakhar Bajpai,3,2,4,4,,['Mobility Access'],
83,['recSeeY9kbUyXyln0'],['Project 6'],Prakhar Bajpai,5,2,1,1,['Main Track'],['Cybersecurity'],
78,['recOJHRUBhcuTvuKz'],['Project 5'],Colin McNamara,4,2,5,5,['Accessible City'],['Main Track'],
